2025-07-14 11:26:56,645 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 11:26:59,403 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 11:27:02,786 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 12:02:21,408 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 12:02:35,936 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 12:03:09,637 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 12:09:41,991 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 12:23:00,170 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: SUCCESS - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 12:23:36,121 - INFO - Login attempt - Username: 2023-S1-UM-7 - Status: SUCCESS - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 22:19:40,465 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 22:19:50,879 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 22:20:03,550 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 22:20:14,105 - INFO - Login attempt - Username: 2023-S1-US-17 - Status: FAILED - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 22:20:45,569 - INFO - Login attempt - Username: 2023-S1-MX-20 - Status: SUCCESS - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
2025-07-14 22:21:42,993 - INFO - Login attempt - Username: 2021-S1-US-17 - Status: SUCCESS - IP: 127.0.0.1 - User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
