2025-05-30 11:58:16,208 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:16,212 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:16,212 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:16,216 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:16,216 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:16,222 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:16,222 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:47,457 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:47,460 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:47,461 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:47,464 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:47,464 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:47,469 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:58:47,469 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:59:48,182 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:59:48,186 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:59:48,186 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:59:48,189 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:59:48,189 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:59:48,193 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 11:59:48,193 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 12:00:33,361 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 12:00:33,366 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 12:00:33,367 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 12:00:33,370 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 12:00:33,370 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 12:00:33,373 - repo_utils - ERROR - Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
2025-05-30 12:00:33,373 - repo_utils - ERROR - Failed to pull lmtoy_run: Error pulling latest changes: Command '['git', 'branch', '--set-upstream-to=origin/main', 'main']' returned non-zero exit status 128.
